timestamp,new_records,duplicates_skipped,runtime_seconds,records_per_second,pages_fetched,duplicate_ratio
2026-06-16T16:52:39.417168,3850,10,405.52,9.49,193,0.0026
2026-06-16T17:24:16.601302,362,3498,349.98,1.03,193,0.9062
2026-06-16T17:25:12.598345,148,3712,179.12,0.83,193,0.9617
2026-06-17T15:37:53.242054,2642,1218,203.71,12.97,193,0.3155
2026-06-17T16:01:55.556574,2336,1524,292.31,7.99,193,0.3948
2026-06-17T16:02:35.280849,2425,1435,590.23,4.11,193,0.3718
2026-06-17T16:02:39.983296,2425,1435,505.69,4.8,193,0.3718
2026-06-17T16:05:55.125429,1038,2822,326.95,3.17,193,0.7311
2026-06-17T16:30:19.972803,289,3571,333.9,0.87,193,0.9251
2026-06-17T16:49:38.479679,109,3751,510.7,0.21,193,0.9718
2026-06-17T16:50:17.211017,41,3819,236.31,0.17,193,0.9894
2026-06-20T08:49:34.500446,2100,1760,558.34,3.76,193,0.456
2026-06-21T13:07:19.868045,0,0,0.49,0.0,1,0.0
2026-06-21T13:11:36.005372,0,0,0.86,0.0,1,0.0
2026-06-21T13:14:52.496107,0,0,0.66,0.0,1,0.0
